% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.531	1	1	54	2	1	28	2196	0	0
0.541	1	1	55	2	1	28	2196	0	0
0.546	1	1	55	7	1	28	2196	0	0
0.606	1	1	61	7	1	28	2196	0	0
0.607	1	1	61	8	1	28	2196	0	0
0.616	1	1	62	7	1	28	2196	0	0
0.617	1	1	62	8	1	28	2196	0	0
0.618	1	1	62	9	1	28	2196	0	0
0.619	1	1	62	10	1	28	2196	0	0
0.62	1	1	63	1	1	28	2196	0	0
0.621	1	1	63	2	1	28	2196	0	0
0.681	1	1	69	2	1	28	2196	0	0
0.682	1	1	69	3	1	28	2196	0	0
0.683	1	1	69	4	1	28	2196	0	0
0.691	1	1	70	2	1	28	2196	0	0
0.692	1	1	70	3	1	28	2196	0	0
0.693	1	1	70	4	1	28	2196	0	0
0.694	1	1	70	5	1	28	2196	0	0
0.695	1	1	70	6	1	28	2196	0	0
0.696	1	1	70	7	1	28	2196	0	0
0.697	1	1	70	8	1	28	2196	0	0
0.701	1	1	71	2	1	28	2196	0	0
0.711	1	1	72	2	1	28	2196	0	0
0.721	1	1	73	2	1	28	2196	0	0
0.722	1	1	73	3	1	28	2196	0	0
0.756	1	1	76	7	1	28	2196	0	0
0.757	1	1	76	8	1	28	2196	0	0
0.758	1	1	76	9	1	28	2196	0	0
0.766	1	1	77	7	1	28	2196	0	0
0.767	1	1	77	8	1	28	2196	0	0
0.768	1	1	77	9	1	28	2196	0	0
0.769	1	1	77	10	1	28	2196	0	0
0.77	1	1	78	1	1	28	2196	0	0
0.771	1	1	78	2	1	28	2196	0	0
0.772	1	1	78	3	1	28	2196	0	0
0.773	1	1	78	4	1	28	2196	0	0
0.778	1	1	78	9	1	28	2196	0	0
0.779	1	1	78	10	1	28	2196	0	0
0.78	1	1	79	1	1	28	2196	0	0
0.781	1	1	79	2	1	28	2196	0	0
0.782	1	1	79	3	1	28	2196	0	0
0.783	1	1	79	4	1	28	2196	0	0
0.784	1	1	79	5	1	28	2196	0	0
0.785	1	1	79	6	1	28	2196	0	0
