% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
533	1	1	1	0	0	28	2196	0	1	1
548	1	1	1	0	0	28	2196	0	1	1
608	1	1	1	0	0	28	2196	0	1	1
609	1	1	1	0	0	28	2196	0	1	1
623	1	1	1	0	0	28	2196	0	1	1
683	1	1	1	0	0	28	2196	0	1	1
684	1	1	1	0	0	28	2196	0	1	1
698	1	1	1	0	0	28	2196	0	1	1
699	1	1	1	0	0	28	2196	0	1	1
723	1	1	1	0	0	28	2196	0	1	1
758	1	1	1	0	0	28	2196	0	1	1
759	1	1	1	0	0	28	2196	0	1	1
773	1	1	1	0	0	28	2196	0	1	1
774	1	1	1	0	0	28	2196	0	1	1
775	1	1	1	0	0	28	2196	0	1	1
793	1	1	1	0	0	28	2196	0	1	1
800	1	1	1	0	0	28	2196	0	1	1
804	1	1	1	0	0	28	2196	0	1	1
818	1	1	1	0	0	28	2196	0	1	1
833	1	1	1	0	0	28	2196	0	1	1
834	1	1	1	0	0	28	2196	0	1	1
848	1	1	1	0	0	28	2196	0	1	1
859	1	1	1	0	0	28	2196	0	1	1
860	1	1	1	0	0	28	2196	0	1	1
874	1	1	1	0	0	28	2196	0	1	1
885	1	1	1	0	0	28	2196	0	1	1
890	1	1	1	0	0	28	2196	0	1	1
903	1	1	1	0	0	28	2196	0	1	1
910	1	1	1	0	0	28	2196	0	1	1
911	1	1	1	0	0	28	2196	0	1	1
928	1	1	1	0	0	28	2196	0	1	1
936	1	1	1	0	0	28	2196	0	1	1
941	1	1	1	0	0	28	2196	0	1	1
954	1	1	1	0	0	28	2196	0	1	1
961	1	1	1	0	0	28	2196	0	1	1
962	1	1	1	0	0	28	2196	0	1	1
979	1	1	1	0	0	28	2196	0	1	1
987	1	1	1	0	0	28	2196	0	1	1
992	1	1	1	0	0	28	2196	0	1	1
1007	1	1	1	0	0	28	2196	0	1	1
1008	1	1	1	0	0	28	2196	0	1	1
1017	1	1	1	0	0	28	2196	0	1	1
