% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
533	1	1	1	0	28	2196	0	1
543	1	1	1	0	28	2196	0	1
548	1	1	1	0	28	2196	0	1
608	1	1	1	0	28	2196	0	1
609	1	1	1	0	28	2196	0	1
618	1	1	1	0	28	2196	0	1
619	1	1	1	0	28	2196	0	1
620	1	1	1	0	28	2196	0	1
621	1	1	1	0	28	2196	0	1
622	1	1	1	0	28	2196	0	1
623	1	1	1	0	28	2196	0	1
683	1	1	1	0	28	2196	0	1
684	1	1	1	0	28	2196	0	1
685	1	1	1	0	28	2196	0	1
693	1	1	1	0	28	2196	0	1
694	1	1	1	0	28	2196	0	1
695	1	1	1	0	28	2196	0	1
696	1	1	1	0	28	2196	0	1
697	1	1	1	0	28	2196	0	1
698	1	1	1	0	28	2196	0	1
699	1	1	1	0	28	2196	0	1
703	1	1	1	0	28	2196	0	1
713	1	1	1	0	28	2196	0	1
723	1	1	1	0	28	2196	0	1
724	1	1	1	0	28	2196	0	1
758	1	1	1	0	28	2196	0	1
759	1	1	1	0	28	2196	0	1
760	1	1	1	0	28	2196	0	1
768	1	1	1	0	28	2196	0	1
769	1	1	1	0	28	2196	0	1
770	1	1	1	0	28	2196	0	1
771	1	1	1	0	28	2196	0	1
772	1	1	1	0	28	2196	0	1
773	1	1	1	0	28	2196	0	1
774	1	1	1	0	28	2196	0	1
775	1	1	1	0	28	2196	0	1
780	1	1	1	0	28	2196	0	1
781	1	1	1	0	28	2196	0	1
782	1	1	1	0	28	2196	0	1
783	1	1	1	0	28	2196	0	1
784	1	1	1	0	28	2196	0	1
785	1	1	1	0	28	2196	0	1
786	1	1	1	0	28	2196	0	1
787	1	1	1	0	28	2196	0	1
792	1	1	1	0	28	2196	0	1
793	1	1	1	0	28	2196	0	1
794	1	1	1	0	28	2196	0	1
795	1	1	1	0	28	2196	0	1
796	1	1	1	0	28	2196	0	1
797	1	1	1	0	28	2196	0	1
798	1	1	1	0	28	2196	0	1
799	1	1	1	0	28	2196	0	1
800	1	1	1	0	28	2196	0	1
804	1	1	1	0	28	2196	0	1
806	1	1	1	0	28	2196	0	1
807	1	1	1	0	28	2196	0	1
808	1	1	1	0	28	2196	0	1
809	1	1	1	0	28	2196	0	1
810	1	1	1	0	28	2196	0	1
811	1	1	1	0	28	2196	0	1
812	1	1	1	0	28	2196	0	1
813	1	1	1	0	28	2196	0	1
818	1	1	1	0	28	2196	0	1
819	1	1	1	0	28	2196	0	1
820	1	1	1	0	28	2196	0	1
821	1	1	1	0	28	2196	0	1
822	1	1	1	0	28	2196	0	1
823	1	1	1	0	28	2196	0	1
824	1	1	1	0	28	2196	0	1
825	1	1	1	0	28	2196	0	1
826	1	1	1	0	28	2196	0	1
831	1	1	1	0	28	2196	0	1
832	1	1	1	0	28	2196	0	1
833	1	1	1	0	28	2196	0	1
834	1	1	1	0	28	2196	0	1
835	1	1	1	0	28	2196	0	1
843	1	1	1	0	28	2196	0	1
844	1	1	1	0	28	2196	0	1
845	1	1	1	0	28	2196	0	1
846	1	1	1	0	28	2196	0	1
847	1	1	1	0	28	2196	0	1
848	1	1	1	0	28	2196	0	1
849	1	1	1	0	28	2196	0	1
850	1	1	1	0	28	2196	0	1
855	1	1	1	0	28	2196	0	1
856	1	1	1	0	28	2196	0	1
857	1	1	1	0	28	2196	0	1
858	1	1	1	0	28	2196	0	1
859	1	1	1	0	28	2196	0	1
860	1	1	1	0	28	2196	0	1
861	1	1	1	0	28	2196	0	1
862	1	1	1	0	28	2196	0	1
866	1	1	1	0	28	2196	0	1
867	1	1	1	0	28	2196	0	1
868	1	1	1	0	28	2196	0	1
869	1	1	1	0	28	2196	0	1
870	1	1	1	0	28	2196	0	1
871	1	1	1	0	28	2196	0	1
873	1	1	1	0	28	2196	0	1
874	1	1	1	0	28	2196	0	1
878	1	1	1	0	28	2196	0	1
879	1	1	1	0	28	2196	0	1
880	1	1	1	0	28	2196	0	1
881	1	1	1	0	28	2196	0	1
882	1	1	1	0	28	2196	0	1
883	1	1	1	0	28	2196	0	1
884	1	1	1	0	28	2196	0	1
885	1	1	1	0	28	2196	0	1
890	1	1	1	0	28	2196	0	1
891	1	1	1	0	28	2196	0	1
892	1	1	1	0	28	2196	0	1
893	1	1	1	0	28	2196	0	1
894	1	1	1	0	28	2196	0	1
895	1	1	1	0	28	2196	0	1
896	1	1	1	0	28	2196	0	1
897	1	1	1	0	28	2196	0	1
898	1	1	1	0	28	2196	0	1
903	1	1	1	0	28	2196	0	1
904	1	1	1	0	28	2196	0	1
905	1	1	1	0	28	2196	0	1
906	1	1	1	0	28	2196	0	1
907	1	1	1	0	28	2196	0	1
908	1	1	1	0	28	2196	0	1
909	1	1	1	0	28	2196	0	1
910	1	1	1	0	28	2196	0	1
911	1	1	1	0	28	2196	0	1
916	1	1	1	0	28	2196	0	1
917	1	1	1	0	28	2196	0	1
918	1	1	1	0	28	2196	0	1
919	1	1	1	0	28	2196	0	1
920	1	1	1	0	28	2196	0	1
921	1	1	1	0	28	2196	0	1
922	1	1	1	0	28	2196	0	1
923	1	1	1	0	28	2196	0	1
928	1	1	1	0	28	2196	0	1
929	1	1	1	0	28	2196	0	1
930	1	1	1	0	28	2196	0	1
931	1	1	1	0	28	2196	0	1
932	1	1	1	0	28	2196	0	1
933	1	1	1	0	28	2196	0	1
934	1	1	1	0	28	2196	0	1
935	1	1	1	0	28	2196	0	1
936	1	1	1	0	28	2196	0	1
941	1	1	1	0	28	2196	0	1
942	1	1	1	0	28	2196	0	1
943	1	1	1	0	28	2196	0	1
944	1	1	1	0	28	2196	0	1
945	1	1	1	0	28	2196	0	1
946	1	1	1	0	28	2196	0	1
947	1	1	1	0	28	2196	0	1
948	1	1	1	0	28	2196	0	1
949	1	1	1	0	28	2196	0	1
954	1	1	1	0	28	2196	0	1
955	1	1	1	0	28	2196	0	1
956	1	1	1	0	28	2196	0	1
957	1	1	1	0	28	2196	0	1
958	1	1	1	0	28	2196	0	1
959	1	1	1	0	28	2196	0	1
960	1	1	1	0	28	2196	0	1
961	1	1	1	0	28	2196	0	1
962	1	1	1	0	28	2196	0	1
967	1	1	1	0	28	2196	0	1
968	1	1	1	0	28	2196	0	1
969	1	1	1	0	28	2196	0	1
970	1	1	1	0	28	2196	0	1
971	1	1	1	0	28	2196	0	1
972	1	1	1	0	28	2196	0	1
973	1	1	1	0	28	2196	0	1
974	1	1	1	0	28	2196	0	1
979	1	1	1	0	28	2196	0	1
980	1	1	1	0	28	2196	0	1
981	1	1	1	0	28	2196	0	1
982	1	1	1	0	28	2196	0	1
983	1	1	1	0	28	2196	0	1
984	1	1	1	0	28	2196	0	1
985	1	1	1	0	28	2196	0	1
986	1	1	1	0	28	2196	0	1
987	1	1	1	0	28	2196	0	1
992	1	1	1	0	28	2196	0	1
993	1	1	1	0	28	2196	0	1
994	1	1	1	0	28	2196	0	1
995	1	1	1	0	28	2196	0	1
996	1	1	1	0	28	2196	0	1
997	1	1	1	0	28	2196	0	1
998	1	1	1	0	28	2196	0	1
999	1	1	1	0	28	2196	0	1
1000	1	1	1	0	28	2196	0	1
1005	1	1	1	0	28	2196	0	1
1006	1	1	1	0	28	2196	0	1
1007	1	1	1	0	28	2196	0	1
1008	1	1	1	0	28	2196	0	1
1009	1	1	1	0	28	2196	0	1
1010	1	1	1	0	28	2196	0	1
1011	1	1	1	0	28	2196	0	1
1012	1	1	1	0	28	2196	0	1
1014	1	1	1	0	28	2196	0	1
1015	1	1	1	0	28	2196	0	1
1017	1	1	1	0	28	2196	0	1
1018	1	1	1	0	28	2196	0	1
1021	1	1	1	0	28	2196	0	1
1022	1	1	1	0	28	2196	0	1
1023	1	1	1	0	28	2196	0	1
1024	1	1	1	0	28	2196	0	1
1025	1	1	1	0	28	2196	0	1
1026	1	1	1	0	28	2196	0	1
1027	1	1	1	0	28	2196	0	1
1030	1	1	1	0	28	2196	0	1
1033	1	1	1	0	28	2196	0	1
1034	1	1	1	0	28	2196	0	1
1035	1	1	1	0	28	2196	0	1
1036	1	1	1	0	28	2196	0	1
1037	1	1	1	0	28	2196	0	1
1038	1	1	1	0	28	2196	0	1
1039	1	1	1	0	28	2196	0	1
1042	1	1	1	0	28	2196	0	1
1045	1	1	1	0	28	2196	0	1
1046	1	1	1	0	28	2196	0	1
1047	1	1	1	0	28	2196	0	1
1048	1	1	1	0	28	2196	0	1
1049	1	1	1	0	28	2196	0	1
1050	1	1	1	0	28	2196	0	1
1051	1	1	1	0	28	2196	0	1
1054	1	1	1	0	28	2196	0	1
1057	1	1	1	0	28	2196	0	1
1058	1	1	1	0	28	2196	0	1
1059	1	1	1	0	28	2196	0	1
1060	1	1	1	0	28	2196	0	1
1061	1	1	1	0	28	2196	0	1
1062	1	1	1	0	28	2196	0	1
1063	1	1	1	0	28	2196	0	1
