% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
3.04	1	1	305	1	1	28	4587
3.05	1	1	306	1	1	28	4587
3.115	1	1	312	6	1	28	4587
21.039	1	1	2104	10	1	28	4587
21.04	1	1	2105	1	1	28	4587
21.041	1	1	2105	2	1	28	4587
21.051	1	1	2106	2	1	28	4587
21.114	1	1	2112	5	1	28	4587
21.115	1	1	2112	6	1	28	4587
21.116	1	1	2112	7	1	28	4587
21.117	1	1	2112	8	1	28	4587
21.118	1	1	2112	9	1	28	4587
21.119	1	1	2112	10	1	28	4587
21.129	1	1	2113	10	1	28	4587
21.189	1	1	2119	10	1	28	4587
21.19	1	1	2120	1	1	28	4587
21.191	1	1	2120	2	1	28	4587
21.192	1	1	2120	3	1	28	4587
21.193	1	1	2120	4	1	28	4587
21.194	1	1	2120	5	1	28	4587
21.195	1	1	2120	6	1	28	4587
21.196	1	1	2120	7	1	28	4587
21.198	1	1	2120	9	1	28	4587
21.2	1	1	2121	1	1	28	4587
21.21	1	1	2122	1	1	28	4587
21.22	1	1	2123	1	1	28	4587
21.265	1	1	2127	6	1	28	4587
21.266	1	1	2127	7	1	28	4587
21.267	1	1	2127	8	1	28	4587
21.268	1	1	2127	9	1	28	4587
21.269	1	1	2127	10	1	28	4587
21.271	1	1	2128	2	1	28	4587
21.272	1	1	2128	3	1	28	4587
21.273	1	1	2128	4	1	28	4587
21.275	1	1	2128	6	1	28	4587
21.277	1	1	2128	8	1	28	4587
21.279	1	1	2128	10	1	28	4587
21.282	1	1	2129	3	1	28	4587
21.284	1	1	2129	5	1	28	4587
21.286	1	1	2129	7	1	28	4587
21.288	1	1	2129	9	1	28	4587
21.298	1	1	2130	9	1	28	4587
21.34	1	1	2135	1	1	28	4587
21.341	1	1	2135	2	1	28	4587
21.342	1	1	2135	3	1	28	4587
21.343	1	1	2135	4	1	28	4587
21.344	1	1	2135	5	1	28	4587
21.345	1	1	2135	6	1	28	4587
21.347	1	1	2135	8	1	28	4587
21.348	1	1	2135	9	1	28	4587
21.35	1	1	2136	1	1	28	4587
21.352	1	1	2136	3	1	28	4587
21.354	1	1	2136	5	1	28	4587
21.357	1	1	2136	8	1	28	4587
21.359	1	1	2136	10	1	28	4587
21.361	1	1	2137	2	1	28	4587
21.363	1	1	2137	4	1	28	4587
21.365	1	1	2137	6	1	28	4587
21.367	1	1	2137	8	1	28	4587
21.368	1	1	2137	9	1	28	4587
21.369	1	1	2137	10	1	28	4587
21.371	1	1	2138	2	1	28	4587
21.373	1	1	2138	4	1	28	4587
21.383	1	1	2139	4	1	28	4587
21.393	1	1	2140	4	1	28	4587
21.414	1	1	2142	5	1	28	4587
21.415	1	1	2142	6	1	28	4587
21.416	1	1	2142	7	1	28	4587
21.417	1	1	2142	8	1	28	4587
21.418	1	1	2142	9	1	28	4587
21.419	1	1	2142	10	1	28	4587
21.422	1	1	2143	3	1	28	4587
21.424	1	1	2143	5	1	28	4587
21.426	1	1	2143	7	1	28	4587
21.428	1	1	2143	9	1	28	4587
21.431	1	1	2144	2	1	28	4587
21.433	1	1	2144	4	1	28	4587
21.435	1	1	2144	6	1	28	4587
21.437	1	1	2144	8	1	28	4587
21.439	1	1	2144	10	1	28	4587
21.441	1	1	2145	2	1	28	4587
21.442	1	1	2145	3	1	28	4587
21.443	1	1	2145	4	1	28	4587
21.445	1	1	2145	6	1	28	4587
21.447	1	1	2145	8	1	28	4587
21.448	1	1	2145	9	1	28	4587
21.451	1	1	2146	2	1	28	4587
21.453	1	1	2146	4	1	28	4587
21.455	1	1	2146	6	1	28	4587
21.457	1	1	2146	8	1	28	4587
21.459	1	1	2146	10	1	28	4587
21.461	1	1	2147	2	1	28	4587
21.463	1	1	2147	4	1	28	4587
21.465	1	1	2147	6	1	28	4587
21.475	1	1	2148	6	1	28	4587
21.485	1	1	2149	6	1	28	4587
21.492	1	1	2150	3	1	28	4587
21.495	1	1	2150	6	1	28	4587
21.497	1	1	2150	8	1	28	4587
21.499	1	1	2150	10	1	28	4587
21.501	1	1	2151	2	1	28	4587
21.503	1	1	2151	4	1	28	4587
21.505	1	1	2151	6	1	28	4587
21.507	1	1	2151	8	1	28	4587
21.509	1	1	2151	10	1	28	4587
21.512	1	1	2152	3	1	28	4587
21.514	1	1	2152	5	1	28	4587
21.516	1	1	2152	7	1	28	4587
21.518	1	1	2152	9	1	28	4587
21.52	1	1	2153	1	1	28	4587
21.522	1	1	2153	3	1	28	4587
21.523	1	1	2153	4	1	28	4587
21.524	1	1	2153	5	1	28	4587
21.526	1	1	2153	7	1	28	4587
21.528	1	1	2153	9	1	28	4587
21.531	1	1	2154	2	1	28	4587
21.533	1	1	2154	4	1	28	4587
21.535	1	1	2154	6	1	28	4587
21.537	1	1	2154	8	1	28	4587
21.539	1	1	2154	10	1	28	4587
21.541	1	1	2155	2	1	28	4587
21.543	1	1	2155	4	1	28	4587
21.544	1	1	2155	5	1	28	4587
21.545	1	1	2155	6	1	28	4587
21.547	1	1	2155	8	1	28	4587
21.549	1	1	2155	10	1	28	4587
21.552	1	1	2156	3	1	28	4587
21.554	1	1	2156	5	1	28	4587
21.556	1	1	2156	7	1	28	4587
21.558	1	1	2156	9	1	28	4587
21.56	1	1	2157	1	1	28	4587
21.562	1	1	2157	3	1	28	4587
21.564	1	1	2157	5	1	28	4587
21.565	1	1	2157	6	1	28	4587
21.566	1	1	2157	7	1	28	4587
21.568	1	1	2157	9	1	28	4587
21.571	1	1	2158	2	1	28	4587
21.573	1	1	2158	4	1	28	4587
21.575	1	1	2158	6	1	28	4587
21.577	1	1	2158	8	1	28	4587
21.579	1	1	2158	10	1	28	4587
21.581	1	1	2159	2	1	28	4587
21.583	1	1	2159	4	1	28	4587
21.585	1	1	2159	6	1	28	4587
21.586	1	1	2159	7	1	28	4587
21.587	1	1	2159	8	1	28	4587
21.589	1	1	2159	10	1	28	4587
21.592	1	1	2160	3	1	28	4587
21.594	1	1	2160	5	1	28	4587
21.596	1	1	2160	7	1	28	4587
21.598	1	1	2160	9	1	28	4587
21.6	1	1	2161	1	1	28	4587
21.602	1	1	2161	3	1	28	4587
21.604	1	1	2161	5	1	28	4587
21.606	1	1	2161	7	1	28	4587
21.607	1	1	2161	8	1	28	4587
21.608	1	1	2161	9	1	28	4587
21.611	1	1	2162	2	1	28	4587
21.613	1	1	2162	4	1	28	4587
21.615	1	1	2162	6	1	28	4587
21.617	1	1	2162	8	1	28	4587
21.619	1	1	2162	10	1	28	4587
21.621	1	1	2163	2	1	28	4587
21.623	1	1	2163	4	1	28	4587
21.625	1	1	2163	6	1	28	4587
21.627	1	1	2163	8	1	28	4587
21.628	1	1	2163	9	1	28	4587
21.629	1	1	2163	10	1	28	4587
21.632	1	1	2164	3	1	28	4587
21.634	1	1	2164	5	1	28	4587
21.636	1	1	2164	7	1	28	4587
21.638	1	1	2164	9	1	28	4587
21.64	1	1	2165	1	1	28	4587
21.642	1	1	2165	3	1	28	4587
21.644	1	1	2165	5	1	28	4587
21.646	1	1	2165	7	1	28	4587
21.648	1	1	2165	9	1	28	4587
21.649	1	1	2165	10	1	28	4587
21.651	1	1	2166	2	1	28	4587
21.653	1	1	2166	4	1	28	4587
21.655	1	1	2166	6	1	28	4587
21.657	1	1	2166	8	1	28	4587
21.658	1	1	2166	9	1	28	4587
21.66	1	1	2167	1	1	28	4587
21.662	1	1	2167	3	1	28	4587
21.664	1	1	2167	5	1	28	4587
21.666	1	1	2167	7	1	28	4587
21.668	1	1	2167	9	1	28	4587
21.671	1	1	2168	2	1	28	4587
21.673	1	1	2168	4	1	28	4587
21.675	1	1	2168	6	1	28	4587
21.677	1	1	2168	8	1	28	4587
21.679	1	1	2168	10	1	28	4587
21.681	1	1	2169	2	1	28	4587
21.683	1	1	2169	4	1	28	4587
21.685	1	1	2169	6	1	28	4587
21.687	1	1	2169	8	1	28	4587
21.689	1	1	2169	10	1	28	4587
21.692	1	1	2170	3	1	28	4587
21.694	1	1	2170	5	1	28	4587
21.696	1	1	2170	7	1	28	4587
21.698	1	1	2170	9	1	28	4587
21.7	1	1	2171	1	1	28	4587
21.702	1	1	2171	3	1	28	4587
21.704	1	1	2171	5	1	28	4587
21.706	1	1	2171	7	1	28	4587
21.708	1	1	2171	9	1	28	4587
21.711	1	1	2172	2	1	28	4587
21.713	1	1	2172	4	1	28	4587
21.715	1	1	2172	6	1	28	4587
21.717	1	1	2172	8	1	28	4587
21.719	1	1	2172	10	1	28	4587
21.721	1	1	2173	2	1	28	4587
21.723	1	1	2173	4	1	28	4587
21.725	1	1	2173	6	1	28	4587
21.727	1	1	2173	8	1	28	4587
21.729	1	1	2173	10	1	28	4587
21.732	1	1	2174	3	1	28	4587
21.734	1	1	2174	5	1	28	4587
21.736	1	1	2174	7	1	28	4587
21.738	1	1	2174	9	1	28	4587
21.74	1	1	2175	1	1	28	4587
21.741	1	1	2175	2	1	28	4587
21.743	1	1	2175	4	1	28	4587
21.745	1	1	2175	6	1	28	4587
21.747	1	1	2175	8	1	28	4587
21.749	1	1	2175	10	1	28	4587
21.752	1	1	2176	3	1	28	4587
21.754	1	1	2176	5	1	28	4587
21.756	1	1	2176	7	1	28	4587
21.757	1	1	2176	8	1	28	4587
21.758	1	1	2176	9	1	28	4587
21.76	1	1	2177	1	1	28	4587
21.762	1	1	2177	3	1	28	4587
21.764	1	1	2177	5	1	28	4587
21.766	1	1	2177	7	1	28	4587
21.768	1	1	2177	9	1	28	4587
21.771	1	1	2178	2	1	28	4587
21.773	1	1	2178	4	1	28	4587
21.775	1	1	2178	6	1	28	4587
21.777	1	1	2178	8	1	28	4587
21.779	1	1	2178	10	1	28	4587
21.781	1	1	2179	2	1	28	4587
21.783	1	1	2179	4	1	28	4587
21.785	1	1	2179	6	1	28	4587
21.787	1	1	2179	8	1	28	4587
21.789	1	1	2179	10	1	28	4587
21.792	1	1	2180	3	1	28	4587
21.794	1	1	2180	5	1	28	4587
21.796	1	1	2180	7	1	28	4587
21.798	1	1	2180	9	1	28	4587
21.8	1	1	2181	1	1	28	4587
21.802	1	1	2181	3	1	28	4587
21.804	1	1	2181	5	1	28	4587
21.806	1	1	2181	7	1	28	4587
21.808	1	1	2181	9	1	28	4587
21.811	1	1	2182	2	1	28	4587
21.813	1	1	2182	4	1	28	4587
21.815	1	1	2182	6	1	28	4587
21.817	1	1	2182	8	1	28	4587
21.819	1	1	2182	10	1	28	4587
21.821	1	1	2183	2	1	28	4587
21.823	1	1	2183	4	1	28	4587
21.824	1	1	2183	5	1	28	4587
21.826	1	1	2183	7	1	28	4587
21.828	1	1	2183	9	1	28	4587
21.831	1	1	2184	2	1	28	4587
21.833	1	1	2184	4	1	28	4587
21.835	1	1	2184	6	1	28	4587
21.837	1	1	2184	8	1	28	4587
21.839	1	1	2184	10	1	28	4587
21.841	1	1	2185	2	1	28	4587
21.843	1	1	2185	4	1	28	4587
21.845	1	1	2185	6	1	28	4587
21.847	1	1	2185	8	1	28	4587
21.849	1	1	2185	10	1	28	4587
21.852	1	1	2186	3	1	28	4587
21.854	1	1	2186	5	1	28	4587
21.856	1	1	2186	7	1	28	4587
21.858	1	1	2186	9	1	28	4587
21.86	1	1	2187	1	1	28	4587
21.862	1	1	2187	3	1	28	4587
21.864	1	1	2187	5	1	28	4587
21.866	1	1	2187	7	1	28	4587
21.868	1	1	2187	9	1	28	4587
21.871	1	1	2188	2	1	28	4587
21.873	1	1	2188	4	1	28	4587
21.875	1	1	2188	6	1	28	4587
21.877	1	1	2188	8	1	28	4587
21.878	1	1	2188	9	1	28	4587
21.879	1	1	2188	10	1	28	4587
21.881	1	1	2189	2	1	28	4587
21.883	1	1	2189	4	1	28	4587
21.885	1	1	2189	6	1	28	4587
21.887	1	1	2189	8	1	28	4587
21.889	1	1	2189	10	1	28	4587
21.892	1	1	2190	3	1	28	4587
21.894	1	1	2190	5	1	28	4587
21.896	1	1	2190	7	1	28	4587
21.898	1	1	2190	9	1	28	4587
21.899	1	1	2190	10	1	28	4587
21.9	1	1	2191	1	1	28	4587
21.902	1	1	2191	3	1	28	4587
21.904	1	1	2191	5	1	28	4587
21.906	1	1	2191	7	1	28	4587
21.907	1	1	2191	8	1	28	4587
21.909	1	1	2191	10	1	28	4587
21.912	1	1	2192	3	1	28	4587
21.914	1	1	2192	5	1	28	4587
21.916	1	1	2192	7	1	28	4587
21.918	1	1	2192	9	1	28	4587
21.92	1	1	2193	1	1	28	4587
21.922	1	1	2193	3	1	28	4587
21.924	1	1	2193	5	1	28	4587
21.926	1	1	2193	7	1	28	4587
21.928	1	1	2193	9	1	28	4587
21.929	1	1	2193	10	1	28	4587
21.931	1	1	2194	2	1	28	4587
21.932	1	1	2194	3	1	28	4587
21.934	1	1	2194	5	1	28	4587
21.936	1	1	2194	7	1	28	4587
21.938	1	1	2194	9	1	28	4587
21.94	1	1	2195	1	1	28	4587
21.942	1	1	2195	3	1	28	4587
21.944	1	1	2195	5	1	28	4587
21.946	1	1	2195	7	1	28	4587
21.948	1	1	2195	9	1	28	4587
21.951	1	1	2196	2	1	28	4587
21.953	1	1	2196	4	1	28	4587
21.955	1	1	2196	6	1	28	4587
21.957	1	1	2196	8	1	28	4587
21.959	1	1	2196	10	1	28	4587
21.96	1	1	2197	1	1	28	4587
21.961	1	1	2197	2	1	28	4587
21.963	1	1	2197	4	1	28	4587
21.965	1	1	2197	6	1	28	4587
21.967	1	1	2197	8	1	28	4587
21.969	1	1	2197	10	1	28	4587
21.972	1	1	2198	3	1	28	4587
21.974	1	1	2198	5	1	28	4587
21.976	1	1	2198	7	1	28	4587
21.978	1	1	2198	9	1	28	4587
21.98	1	1	2199	1	1	28	4587
