% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
545	1	1	1	0	28	2292	0	1	1
620	1	1	1	0	28	2292	0	1	1
695	1	1	1	0	28	2292	0	1	1
770	1	1	1	0	28	2292	0	1	1
845	1	1	1	0	28	2292	0	1	1
846	1	1	1	0	28	2292	0	1	1
848	1	1	1	0	28	2292	0	1	1
865	1	1	1	0	28	2292	0	1	1
895	1	1	1	0	28	2292	0	1	1
920	1	1	1	0	28	2292	0	1	1
921	1	1	1	0	28	2292	0	1	1
922	1	1	1	0	28	2292	0	1	1
923	1	1	1	0	28	2292	0	1	1
925	1	1	1	0	28	2292	0	1	1
926	1	1	1	0	28	2292	0	1	1
929	1	1	1	0	28	2292	0	1	1
930	1	1	1	0	28	2292	0	1	1
947	1	1	1	0	28	2292	0	1	1
975	1	1	1	0	28	2292	0	1	1
996	1	1	1	0	28	2292	0	1	1
997	1	1	1	0	28	2292	0	1	1
999	1	1	1	0	28	2292	0	1	1
1000	1	1	1	0	28	2292	0	1	1
1001	1	1	1	0	28	2292	0	1	1
1003	1	1	1	0	28	2292	0	1	1
1004	1	1	1	0	28	2292	0	1	1
1007	1	1	1	0	28	2292	0	1	1
1008	1	1	1	0	28	2292	0	1	1
1010	1	1	1	0	28	2292	0	1	1
1013	1	1	1	0	28	2292	0	1	1
1030	1	1	1	0	28	2292	0	1	1
1051	1	1	1	0	28	2292	0	1	1
1061	1	1	1	0	28	2292	0	1	1
1071	1	1	1	0	28	2292	0	1	1
1072	1	1	1	0	28	2292	0	1	1
1074	1	1	1	0	28	2292	0	1	1
1077	1	1	1	0	28	2292	0	1	1
1079	1	1	1	0	28	2292	0	1	1
1080	1	1	1	0	28	2292	0	1	1
1081	1	1	1	0	28	2292	0	1	1
1083	1	1	1	0	28	2292	0	1	1
1086	1	1	1	0	28	2292	0	1	1
1088	1	1	1	0	28	2292	0	1	1
1092	1	1	1	0	28	2292	0	1	1
1093	1	1	1	0	28	2292	0	1	1
1095	1	1	1	0	28	2292	0	1	1
1098	1	1	1	0	28	2292	0	1	1
1100	1	1	1	0	28	2292	0	1	1
1102	1	1	1	0	28	2292	0	1	1
1119	1	1	1	0	28	2292	0	1	1
1137	1	1	1	0	28	2292	0	1	1
1146	1	1	1	0	28	2292	0	1	1
1148	1	1	1	0	28	2292	0	1	1
1151	1	1	1	0	28	2292	0	1	1
1153	1	1	1	0	28	2292	0	1	1
1155	1	1	1	0	28	2292	0	1	1
1158	1	1	1	0	28	2292	0	1	1
1160	1	1	1	0	28	2292	0	1	1
1163	1	1	1	0	28	2292	0	1	1
1165	1	1	1	0	28	2292	0	1	1
1167	1	1	1	0	28	2292	0	1	1
1171	1	1	1	0	28	2292	0	1	1
1172	1	1	1	0	28	2292	0	1	1
1174	1	1	1	0	28	2292	0	1	1
1177	1	1	1	0	28	2292	0	1	1
1179	1	1	1	0	28	2292	0	1	1
1181	1	1	1	0	28	2292	0	1	1
1183	1	1	1	0	28	2292	0	1	1
