% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	299.676
0.081	1	1	1	299.676
0.121	1	1	1	299.676
0.161	1	1	1	299.676
0.201	1	1	1	299.676
0.241	1	1	1	299.676
0.281	1	1	1	299.676
0.321	1	1	1	299.676
0.361	1	1	1	299.676
0.401	1	1	1	299.676
0.441	1	1	1	299.676
0.481	1	1	1	299.676
0.521	1	1	1	299.676
0.561	1	1	1	299.676
0.601	1	1	1	299.676
0.641	1	1	1	299.676
0.681	1	1	1	299.676
0.721	1	1	1	299.676
0.761	1	1	1	299.676
0.801	1	1	1	299.676
0.841	1	1	1	299.676
0.881	1	1	1	299.676
0.921	1	1	1	299.676
0.961	1	1	1	299.676
1.001	1	1	1	299.676
1.041	1	1	1	299.676
1.081	1	1	1	299.676
1.121	1	1	1	299.676
1.161	1	1	1	299.676
1.201	1	1	1	299.676
1.241	1	1	1	299.676
1.281	1	1	1	299.676
1.321	1	1	1	299.676
1.361	1	1	1	299.676
1.401	1	1	1	299.676
1.441	1	1	1	299.676
1.481	1	1	1	299.676
1.521	1	1	1	299.676
1.561	1	1	1	299.676
1.601	1	1	1	299.676
1.641	1	1	1	299.676
1.681	1	1	1	299.676
1.721	1	1	1	299.676
1.761	1	1	1	299.676
1.801	1	1	1	299.676
1.841	1	1	1	299.676
1.881	1	1	1	299.676
1.921	1	1	1	299.676
1.961	1	1	1	299.676
2.001	1	1	1	299.676
2.041	1	1	1	299.676
2.081	1	1	1	299.676
2.121	1	1	1	299.676
2.161	1	1	1	299.676
2.201	1	1	1	299.676
2.241	1	1	1	299.676
2.281	1	1	1	299.676
2.321	1	1	1	299.676
2.361	1	1	1	299.676
2.401	1	1	1	299.676
2.441	1	1	1	299.676
2.481	1	1	1	299.676
2.521	1	1	1	299.676
2.561	1	1	1	299.676
2.601	1	1	1	299.676
2.641	1	1	1	299.676
2.681	1	1	1	299.676
2.721	1	1	1	299.676
2.761	1	1	1	299.676
2.801	1	1	1	299.676
2.841	1	1	1	299.676
2.881	1	1	1	299.676
2.921	1	1	1	299.676
2.961	1	1	1	299.676
3.001	1	1	1	299.676
3.041	1	1	1	299.676
3.081	1	1	1	299.676
3.121	1	1	1	299.676
3.161	1	1	1	299.676
3.201	1	1	1	299.676
3.241	1	1	1	299.676
3.281	1	1	1	299.676
3.321	1	1	1	299.676
3.361	1	1	1	299.676
3.401	1	1	1	299.676
3.441	1	1	1	299.676
3.481	1	1	1	299.676
3.521	1	1	1	299.676
3.561	1	1	1	299.676
3.601	1	1	1	299.676
3.641	1	1	1	299.676
3.681	1	1	1	299.676
3.721	1	1	1	299.676
3.761	1	1	1	299.676
3.801	1	1	1	299.676
3.841	1	1	1	299.676
3.881	1	1	1	299.676
3.921	1	1	1	299.676
3.961	1	1	1	299.676
4.001	1	1	1	299.676
4.041	1	1	1	299.676
4.081	1	1	1	299.676
4.121	1	1	1	299.676
4.161	1	1	1	299.676
