% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
121	1	1	1	0	28	2292	0	1
121	2	2	1	0	28	2292	0	1
221	1	1	1	0	28	2292	0	1
221	2	2	1	0	28	2292	0	1
321	1	1	1	0	28	2292	0	1
321	2	2	1	0	28	2292	0	1
421	1	1	1	0	28	2292	0	1
421	2	2	1	0	28	2292	0	1
521	1	1	1	0	28	2292	0	1
521	2	2	1	0	28	2292	0	1
621	1	1	1	0	28	2292	0	1
621	2	2	1	0	28	2292	0	1
721	1	1	1	0	28	2292	0	1
721	2	2	1	0	28	2292	0	1
821	1	1	1	0	28	2292	0	1
821	2	2	1	0	28	2292	0	1
921	1	1	1	0	28	2292	0	1
921	2	2	1	0	28	2292	0	1
1021	1	1	1	0	28	2292	0	1
1021	2	2	1	0	28	2292	0	1
1121	1	1	1	0	28	2292	0	1
1121	2	2	1	0	28	2292	0	1
1221	1	1	1	0	28	2292	0	1
1221	2	2	1	0	28	2292	0	1
1321	1	1	1	0	28	2292	0	1
1321	2	2	1	0	28	2292	0	1
1421	1	1	1	0	28	2292	0	1
1421	2	2	1	0	28	2292	0	1
1521	1	1	1	0	28	2292	0	1
1521	2	2	1	0	28	2292	0	1
1621	1	1	1	0	28	2292	0	1
1621	2	2	1	0	28	2292	0	1
1721	1	1	1	0	28	2292	0	1
1721	2	2	1	0	28	2292	0	1
1821	1	1	1	0	28	2292	0	1
1821	2	2	1	0	28	2292	0	1
1921	1	1	1	0	28	2292	0	1
1921	2	2	1	0	28	2292	0	1
2021	1	1	1	0	28	2292	0	1
2021	2	2	1	0	28	2292	0	1
