% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
27	1	1	1	0	0	0	81	0	1	1
42	1	1	1	0	0	28	2196	0	1	1
43	1	1	1	0	0	28	2196	0	1	1
58	1	1	1	0	0	28	2196	0	1	1
533	1	1	1	0	0	28	2196	0	1	1
608	1	1	1	0	0	28	2196	0	1	1
609	1	1	1	0	0	28	2196	0	1	1
683	1	1	1	0	0	28	2196	0	1	1
684	1	1	1	0	0	28	2196	0	1	1
685	1	1	1	0	0	28	2196	0	1	1
758	1	1	1	0	0	28	2196	0	1	1
759	1	1	1	0	0	28	2196	0	1	1
760	1	1	1	0	0	28	2196	0	1	1
761	1	1	1	0	0	28	2196	0	1	1
762	1	1	1	0	0	28	2196	0	1	1
763	1	1	1	0	0	28	2196	0	1	1
833	1	1	1	0	0	28	2196	0	1	1
834	1	1	1	0	0	28	2196	0	1	1
835	1	1	1	0	0	28	2196	0	1	1
836	1	1	1	0	0	28	2196	0	1	1
837	1	1	1	0	0	28	2196	0	1	1
838	1	1	1	0	0	28	2196	0	1	1
839	1	1	1	0	0	28	2196	0	1	1
840	1	1	1	0	0	28	2196	0	1	1
841	1	1	1	0	0	28	2196	0	1	1
842	1	1	1	0	0	28	2196	0	1	1
843	1	1	1	0	0	28	2196	0	1	1
908	1	1	1	0	0	28	2196	0	1	1
909	1	1	1	0	0	28	2196	0	1	1
910	1	1	1	0	0	28	2196	0	1	1
911	1	1	1	0	0	28	2196	0	1	1
912	1	1	1	0	0	28	2196	0	1	1
913	1	1	1	0	0	28	2196	0	1	1
914	1	1	1	0	0	28	2196	0	1	1
915	1	1	1	0	0	28	2196	0	1	1
916	1	1	1	0	0	28	2196	0	1	1
917	1	1	1	0	0	28	2196	0	1	1
918	1	1	1	0	0	28	2196	0	1	1
919	1	1	1	0	0	28	2196	0	1	1
920	1	1	1	0	0	28	2196	0	1	1
921	1	1	1	0	0	28	2196	0	1	1
922	1	1	1	0	0	28	2196	0	1	1
923	1	1	1	0	0	28	2196	0	1	1
924	1	1	1	0	0	28	2196	0	1	1
958	1	1	1	0	0	28	2196	0	1	1
959	1	1	1	0	0	28	2196	0	1	1
984	1	1	1	0	0	28	2196	0	1	1
985	1	1	1	0	0	28	2196	0	1	1
986	1	1	1	0	0	28	2196	0	1	1
987	1	1	1	0	0	28	2196	0	1	1
988	1	1	1	0	0	28	2196	0	1	1
989	1	1	1	0	0	28	2196	0	1	1
990	1	1	1	0	0	28	2196	0	1	1
991	1	1	1	0	0	28	2196	0	1	1
992	1	1	1	0	0	28	2196	0	1	1
993	1	1	1	0	0	28	2196	0	1	1
994	1	1	1	0	0	28	2196	0	1	1
995	1	1	1	0	0	28	2196	0	1	1
996	1	1	1	0	0	28	2196	0	1	1
997	1	1	1	0	0	28	2196	0	1	1
998	1	1	1	0	0	28	2196	0	1	1
999	1	1	1	0	0	28	2196	0	1	1
