% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
27	1	1	1	0	0	81	0	1
42	1	1	1	0	28	2196	0	1
43	1	1	1	0	28	2196	0	1
58	1	1	1	0	28	2196	0	1
533	1	1	1	0	28	2196	0	1
608	1	1	1	0	28	2196	0	1
609	1	1	1	0	28	2196	0	1
683	1	1	1	0	28	2196	0	1
684	1	1	1	0	28	2196	0	1
685	1	1	1	0	28	2196	0	1
758	1	1	1	0	28	2196	0	1
759	1	1	1	0	28	2196	0	1
760	1	1	1	0	28	2196	0	1
761	1	1	1	0	28	2196	0	1
762	1	1	1	0	28	2196	0	1
763	1	1	1	0	28	2196	0	1
833	1	1	1	0	28	2196	0	1
834	1	1	1	0	28	2196	0	1
835	1	1	1	0	28	2196	0	1
836	1	1	1	0	28	2196	0	1
837	1	1	1	0	28	2196	0	1
838	1	1	1	0	28	2196	0	1
839	1	1	1	0	28	2196	0	1
840	1	1	1	0	28	2196	0	1
841	1	1	1	0	28	2196	0	1
842	1	1	1	0	28	2196	0	1
843	1	1	1	0	28	2196	0	1
908	1	1	1	0	28	2196	0	1
909	1	1	1	0	28	2196	0	1
910	1	1	1	0	28	2196	0	1
911	1	1	1	0	28	2196	0	1
912	1	1	1	0	28	2196	0	1
913	1	1	1	0	28	2196	0	1
914	1	1	1	0	28	2196	0	1
915	1	1	1	0	28	2196	0	1
916	1	1	1	0	28	2196	0	1
917	1	1	1	0	28	2196	0	1
918	1	1	1	0	28	2196	0	1
919	1	1	1	0	28	2196	0	1
920	1	1	1	0	28	2196	0	1
921	1	1	1	0	28	2196	0	1
922	1	1	1	0	28	2196	0	1
923	1	1	1	0	28	2196	0	1
924	1	1	1	0	28	2196	0	1
958	1	1	1	0	28	2196	0	1
959	1	1	1	0	28	2196	0	1
984	1	1	1	0	28	2196	0	1
985	1	1	1	0	28	2196	0	1
986	1	1	1	0	28	2196	0	1
987	1	1	1	0	28	2196	0	1
988	1	1	1	0	28	2196	0	1
989	1	1	1	0	28	2196	0	1
990	1	1	1	0	28	2196	0	1
991	1	1	1	0	28	2196	0	1
992	1	1	1	0	28	2196	0	1
993	1	1	1	0	28	2196	0	1
994	1	1	1	0	28	2196	0	1
995	1	1	1	0	28	2196	0	1
996	1	1	1	0	28	2196	0	1
997	1	1	1	0	28	2196	0	1
998	1	1	1	0	28	2196	0	1
999	1	1	1	0	28	2196	0	1
