% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
24	1	0	1	0	0	19	0	1	1
39	1	0	1	0	0	85	0	1	1
55	1	0	1	0	16	967	0	1	1
545	1	0	1	0	16	967	0	1	1
620	1	0	1	0	16	967	0	1	1
695	1	0	1	0	16	967	0	1	1
770	1	0	1	0	16	967	0	1	1
845	1	0	1	0	16	967	0	1	1
846	1	0	1	0	16	967	0	1	1
848	1	0	1	0	16	967	0	1	1
895	1	0	1	0	16	967	0	1	1
921	1	0	1	0	16	967	0	1	1
922	1	0	1	0	16	967	0	1	1
924	1	0	1	0	16	967	0	1	1
925	1	0	1	0	16	967	0	1	1
926	1	0	1	0	16	967	0	1	1
928	1	0	1	0	16	967	0	1	1
929	1	0	1	0	16	967	0	1	1
971	1	0	1	0	16	967	0	1	1
997	1	0	1	0	16	967	0	1	1
998	1	0	1	0	16	967	0	1	1
