% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
39	1	1	1	0	0	85	0	1
55	1	1	1	0	16	967	0	1
545	1	1	1	0	16	967	0	1
620	1	1	1	0	16	967	0	1
621	1	1	1	0	16	967	0	1
695	1	1	1	0	16	967	0	1
696	1	1	1	0	16	967	0	1
697	1	1	1	0	16	967	0	1
770	1	1	1	0	16	967	0	1
771	1	1	1	0	16	967	0	1
772	1	1	1	0	16	967	0	1
773	1	1	1	0	16	967	0	1
774	1	1	1	0	16	967	0	1
775	1	1	1	0	16	967	0	1
845	1	1	1	0	16	967	0	1
846	1	1	1	0	16	967	0	1
847	1	1	1	0	16	967	0	1
848	1	1	1	0	16	967	0	1
849	1	1	1	0	16	967	0	1
851	1	1	1	0	16	967	0	1
852	1	1	1	0	16	967	0	1
853	1	1	1	0	16	967	0	1
855	1	1	1	0	16	967	0	1
895	1	1	1	0	16	967	0	1
921	1	1	1	0	16	967	0	1
922	1	1	1	0	16	967	0	1
924	1	1	1	0	16	967	0	1
925	1	1	1	0	16	967	0	1
926	1	1	1	0	16	967	0	1
928	1	1	1	0	16	967	0	1
929	1	1	1	0	16	967	0	1
930	1	1	1	0	16	967	0	1
932	1	1	1	0	16	967	0	1
933	1	1	1	0	16	967	0	1
935	1	1	1	0	16	967	0	1
936	1	1	1	0	16	967	0	1
971	1	1	1	0	16	967	0	1
997	1	1	1	0	16	967	0	1
998	1	1	1	0	16	967	0	1
1000	1	1	1	0	16	967	0	1
1001	1	1	1	0	16	967	0	1
1002	1	1	1	0	16	967	0	1
